osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
583792597,Milano Pizzeria,fast_food,fast_food,NA,fast_food,NA,Montréal Road,876,NA,NA,-75.63017201550471,45.44607641368503
583792600,Pilos Restaurant,restaurant,restaurant,NA,restaurant,NA,Montréal Road,876,NA,NA,-75.63020894924357,45.44615871960193
583792602,Fresh Grocer,convenience,convenience,convenience,NA,NA,Montréal Road,876,NA,NA,-75.63055629215528,45.44565074045954
584484126,Metro,grocery,supermarket,supermarket,NA,Metro,Bank Street,754,NA,NA,-75.68890994230804,45.403365127044026
584484709,107 Fourth Avenue Wine Bar & Café,restaurant,bar,NA,bar,NA,Fourth Avenue,107,NA,K1S 2L1,-75.68763930427272,45.4026676312045
584505117,Full Cup Cafe,fast_food,cafe,NA,cafe,NA,Rue Principale,181,NA,NA,-75.8359908984483,45.39711115330544
584505149,Chez Putters,restaurant,restaurant,NA,restaurant,NA,Rue Principale,181,NA,NA,-75.8347823246526,45.397386317151025
584505154,St-Hubert,restaurant,restaurant,NA,restaurant,St-Hubert,Rue Principale,181,NA,NA,-75.83689632132085,45.39644897953204
584710152,Aroma Select,fast_food,cafe,NA,cafe,NA,Rue Principale,200,Gatineau,J9H 6J4,-75.83433467781904,45.394777996015
584710156,Casa Grecque,restaurant,restaurant,NA,restaurant,NA,Rue Principale,200,Gatineau,J9H 6J4,-75.83435622505503,45.394933397418114
584710158,Dépanneur Jean,convenience,convenience,convenience,NA,NA,Rue Principale,200,Gatineau,J9H 6J4,-75.83453505109848,45.39453624919426
584710159,Le Matinal,restaurant,restaurant,NA,restaurant,NA,Rue Principale,200,Gatineau,J9H 6J4,-75.83464682891298,45.394527926791774
584710161,Dairy Queen,fast_food,fast_food,NA,fast_food,Dairy Queen,Rue Principale,200,Gatineau,J9H 6J4,-75.83504895700983,45.394497406053105
584712557,Snack-Shack,fast_food,fast_food,NA,fast_food,NA,Boulevard Wilfrid-Lavigne,420,Gatineau,NA,-75.83609625882927,45.39848003182339
584712572,Chez Gaston Shawarma,fast_food,fast_food,NA,fast_food,NA,Boulevard Wilfrid-Lavigne,420,Gatineau,NA,-75.83657487585536,45.39869556189179
584712590,Subway,fast_food,fast_food,NA,fast_food,Subway,Boulevard Wilfrid-Lavigne,420,Gatineau,NA,-75.83694235523235,45.39867192603782
584712591,Depanneur Lavigne,convenience,convenience,convenience,NA,NA,Boulevard Wilfrid-Lavigne,420,Gatineau,NA,-75.83707607485985,45.398655057462484
584815438,Bien Pho,restaurant,restaurant,NA,restaurant,NA,Jeanne-d'Arc Boulevard South,5925,NA,NA,-75.54174207129408,45.464427146254486
584815440,Tyros Shawarma&Donair,fast_food,fast_food,NA,fast_food,NA,Jeanne-d'Arc Boulevard South,5925,NA,NA,-75.54178739304378,45.464480992362134
584815447,Baghlan Market,specialty,deli,deli,NA,NA,Jeanne-d'Arc Boulevard South,5925,NA,NA,-75.54203559214669,45.464788877012175
584815455,The Bad Alibi,restaurant,restaurant,NA,restaurant,NA,Jeanne-d'Arc Boulevard South,5935,NA,NA,-75.54208629368566,45.46550131471957
584815460,Topper's Pizza,restaurant,restaurant,NA,restaurant,Topper's Pizza,Jeanne-d'Arc Boulevard South,5957,NA,NA,-75.54278849570531,45.46545176780321
585009461,Dainty Kitchen,restaurant,restaurant,NA,restaurant,NA,Somerset Street East,322,NA,K1N 6W3,-75.67444727270518,45.42428808841122
585752212,Habibi Pizza & Pies,fast_food,fast_food,NA,fast_food,NA,Main Street,62,NA,NA,-75.68026615363421,45.412551007004836
587297060,Circle K,convenience,convenience,convenience,NA,Circle K,Meadowbrook Road,2063,NA,NA,-75.6013158594106,45.42743444245095
587297070,Kiki Lebanese Pineview Pizza,fast_food,fast_food,NA,fast_food,NA,Meadowbrook Road,2045,NA,NA,-75.60199710153914,45.42728779790983
587332711,Laziz,fast_food,fast_food,NA,fast_food,NA,Innes Road,1900,NA,NA,-75.59573678655129,45.418090805257215
